block_name,district_n,state_name,Unq,district_name,longitude,latitude
Garadpur,Kendrapada,Odisha,161,Kendrapara,86.342,20.397
Jashipur,Mayurbhanja,Odisha,221,Mayurbhanj,86.181,21.926
Buguda,Ganjam,Odisha,93,Ganjam,84.807,19.84
Bijatola,Mayurbhanja,Odisha,217,Mayurbhanj,86.316,22.246
Sukruli,Mayurbhanja,Odisha,233,Mayurbhanj,85.882,21.9
Maneswar,Sambalpur,Odisha,286,Sambalpur,84.012,21.353
Suliapada,Mayurbhanja,Odisha,234,Mayurbhanj,86.906,22.023
Karlamunda,Kalahandi,Odisha,140,Kalahandi,83.464,20.341
Jharbandh,Bargarh,Odisha,29,Bargarh,82.8,21.087
Saraskana,Mayurbhanja,Odisha,231,Mayurbhanj,86.572,22.235
Barkot,Deogarh,Odisha,71,Deogarh,84.958,21.528
Agalpur,Bolangir,Odisha,40,Balangir,83.459,20.971
Komna,Nuapada,Odisha,257,Nuapara,82.557,20.569
Podia,Malkangiri,Odisha,211,Malkangiri,81.571,18.097
Gunupur,Rayagada,Odisha,274,Rayagada,83.876,19.097
Dhenkanal,Dhenkanal,Odisha,75,Dhenkanal,85.598,20.638
Khariar,Nuapada,Odisha,256,Nuapara,82.751,20.255
Talcher,Anugul,Odisha,8,Angul,85.147,20.959
Raruan,Mayurbhanja,Odisha,229,Mayurbhanj,85.832,22.011
Ranapur,Nayagarh,Odisha,254,Nayagarh,85.296,20.024
Hemgiri,Sundargarh,Odisha,301,Sundargarh,83.699,21.974
Pipili,Puri,Odisha,268,Puri,85.833,20.09
Jaleswar,Baleswar,Odisha,14,Balasore,87.212,21.829
Tentulikhunti (Gudvella),Bolangir,Odisha,51,Balangir,83.544,20.446
Koida,Sundargarh,Odisha,302,Sundargarh,85.151,21.959
Bant,Bhadrak,Odisha,33,Bhadrak,86.368,21.122
Badachana,Jajpur,Odisha,119,Jajpur,86.125,20.663
Khajuripada,Kandhamal,Odisha,152,Kandhamal,84.337,20.502
Turekela,Bolangir,Odisha,53,Balangir,82.814,20.477
Boipariguda,Koraput,Odisha,192,Koraput,82.322,18.735
Kudumulguma,Malkangiri,Odisha,208,Malkangiri,82.225,18.228
Rajborasambar,Bargarh,Odisha,31,Bargarh,83.105,20.993
Tangi-Choudwar,Cuttack,Odisha,69,Cuttack,85.935,20.588
Similiguda,Koraput,Odisha,204,Koraput,82.871,18.653
Jeypore,Koraput,Odisha,195,Koraput,82.552,18.913
Purusottampur,Ganjam,Odisha,106,Ganjam,84.872,19.513
R. Udaygiri,Gajapati,Odisha,87,Gajapati,84.276,19.192
Kalyanasingpur,Rayagada,Odisha,275,Rayagada,83.324,19.448
Kuchinda,Sambalpur,Odisha,285,Sambalpur,84.437,21.76
Phiringia,Kandhamal,Odisha,154,Kandhamal,83.995,20.405
Khairput,Malkangiri,Odisha,206,Malkangiri,82.294,18.488
Rairangpur,Mayurbhanja,Odisha,228,Mayurbhanj,86.232,22.324
Tentulikhunti,Nawarangpur,Odisha,246,Nabarangapur,82.722,19.305
Udala,Mayurbhanja,Odisha,237,Mayurbhanj,86.489,21.616
Balisankara,Sundargarh,Odisha,296,Sundargarh,84.01,22.343
